min,max,mean,median,q25,q75,k,method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.015275774874683021,0.9939158288325368,0.588453783784425,0.7561697476460552,0.3857227612603691,0.8750427882392959,3,Ours,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0.13472421821470323
0.03947563951161533,0.9738369011061744,0.594803204197981,0.7710970719761534,0.4052863557438844,0.8724669865411638,3,LDA,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0.06671724086413207
0.014886355777249328,0.9945542630570519,0.5666819505214161,0.6286435916256816,0.34120402671924616,0.8541215154278514,4,Ours,3,3,3,3,3,3,3,2,2,2,2,2,1,1,0.20866620944073044
0.08285282969155028,0.9854001707460959,0.5923980948962105,0.650669689573598,0.40518565834131565,0.837882126128493,4,LDA,3,3,3,3,3,3,3,3,3,2,2,1,1,1,0.10163482066214487
0.02749404595088891,0.9944610690647797,0.5147878227829784,0.4956035635806658,0.15868740118298555,0.897693034135572,5,Ours,4,4,3,3,3,3,3,3,2,2,2,2,1,1,0.13893906601911504
0.005614302643709787,0.9923998315405759,0.5228367828377175,0.6587607131436752,0.1346516814947503,0.8227573853658762,5,LDA,4,3,3,3,3,3,3,3,3,3,2,2,1,1,0.09418591710230902
0.006064409206130791,0.9941757451107717,0.58734649065912,0.7334088309868361,0.24884394865926457,0.9106263125822629,6,Ours,5,4,4,4,4,4,4,4,4,3,3,3,3,1,0.08658927157758031
0.004031940988404041,0.995480309322327,0.5516653019058727,0.504162818142162,0.38103039744381134,0.8476664552574054,6,LDA,5,5,5,5,5,5,4,3,3,3,2,2,2,1,0.05589297802657399
0.03281490122128269,0.9946219823012682,0.5841971125698585,0.5704692982648061,0.34301381966347244,0.9027229834373539,7,Ours,6,5,5,5,5,5,5,5,5,3,3,3,3,1,0.09386641284807065
0.0034285646128952383,0.994087770887465,0.5354574172415806,0.5598383579503535,0.2773185043653555,0.8181051092548197,7,LDA,6,6,5,5,5,5,4,4,4,3,3,3,1,1,0.08140793707180899
0.0011931594403248441,0.9955082141585082,0.5605919586597714,0.5687605411599795,0.3574675855483137,0.9034455744842872,8,Ours,6,6,6,6,6,6,6,5,5,3,3,3,3,1,0.10239048248290177
0.0033341820706671885,0.9991024025585985,0.585977440659926,0.6414981788009759,0.4288003854413652,0.837346335815538,8,LDA,6,6,6,6,6,6,6,6,6,5,3,2,2,1,0.06075999888953397
0.0011797526614304888,0.9948399734774854,0.4916864671363132,0.5135885098853231,0.23940181421408122,0.8883133820784688,9,Ours,8,7,7,6,5,5,5,5,5,3,3,3,2,1,0.13810861729003648
0.007378698071590168,0.999340161575627,0.5720594771000895,0.8612066377572208,0.0670072429529724,0.9587969282149196,9,LDA,6,6,6,6,6,5,5,5,5,5,5,5,3,1,0.08783451098538846
