min,max,mean,median,q25,q75,k,method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.3226189686575126,0.9914013530621455,0.6198900461706569,0.5456498167923126,0.4341343927249126,0.768525584927229,3,Ours,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0.09911592134696634
0.5210643977708064,0.9740081984802255,0.6745514853293857,0.5285818597371251,0.5248231287539658,0.7512950291086753,3,LDA,3,3,3,3,3,3,3,3,3,1,1,1,1,1,0.08297001499164347
0.052273886473058875,0.28634753092257914,0.14743097872034933,0.10367151876540995,0.07797270261923442,0.19500952484399453,3,SLDA,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0.05445881716911097
0.2696477194368515,0.9908543313077587,0.6246282390680125,0.6190054527637199,0.4914058313467694,0.7522278604849628,4,Ours,4,4,4,4,3,3,3,3,3,2,1,1,1,1,0.16113133197946886
0.6017800949435941,0.9680560664934432,0.7850837212864749,0.7852493618544311,0.6053613162519438,0.9649717668889621,4,LDA,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0.04366871281706963
0.017595685361950747,0.3012947758714351,0.14114660926117392,0.1228479879056549,0.03425020658606193,0.2297443905807669,4,SLDA,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0.04121743779783333
0.19298775467324258,0.9931890857065981,0.574936146823719,0.672502457308547,0.28531888863138444,0.7306825477988225,5,Ours,5,5,4,4,3,3,3,3,3,3,2,1,1,1,0.1385714477927137
0.002058908903752579,0.9953573897026924,0.6326998214286692,0.615465172730644,0.6061473150622181,0.9444703207440391,5,LDA,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0.05813802647514506
0.0477187479897735,0.35871706789193464,0.16490718253864958,0.1790200240671487,0.04779756902394189,0.19128250372044914,5,SLDA,3,3,1,1,1,1,0,0,0,0,0,0,0,1,0.04388584412842076
0.011014021787515474,0.9930365491695086,0.6595527960260866,0.7443125042375311,0.6020587282072503,0.8685784214548403,6,Ours,5,5,5,5,5,5,5,5,5,4,3,3,1,1,0.11981239515374888
