min,max,mean,median,q25,q75,k,Method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.26633837076508926,0.99789930522117,0.7523248261438291,0.992736802445228,0.6295375866051587,0.9953180538331989,3,Ours,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0.12719619474091362
0.01870093214285933,0.9760509451171652,0.6358973340579663,0.8129401249138748,0.465820528528367,0.94449553501552,3,LDA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.09548517224016233
0.01921739407082735,0.4047383219679657,0.1800974271952856,0.11633656554706372,0.06777697980894554,0.2605374437575147,3,SLDA,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0.04102011833518262
0.01407072535814384,0.9556532957686958,0.6351639728163634,0.9357678973222505,0.47491931134019716,0.9457105965454732,3,tLDA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.09760688537242124
0.20243854726737015,0.9983493626877263,0.6428458594795752,0.685297763981602,0.3327129642117164,0.9954306592494607,4,Ours,4,4,4,3,3,3,2,2,2,2,2,2,2,1,0.18637524132567043
0.09669213282967591,0.9982287945162818,0.6755270452406085,0.7035936268082381,0.5444207990109989,0.9346998730378476,4,LDA,3,3,3,3,3,3,3,3,3,3,2,2,2,1,0.09623745554604579
0.01656839879690445,0.6239438861475829,0.20849679054188397,0.09673743861152427,0.07598345578951754,0.22925077336389071,4,SLDA,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.03681729656739104
0.03253412361805423,0.8819425181656343,0.4874738279650632,0.5177093350382822,0.17761754824677953,0.8275656147565659,4,tLDA,3,3,3,2,2,2,2,2,2,2,2,2,0,1,0.1504460488418594
0.014482950344200567,0.9985582245641716,0.693488316275759,0.7429472954900861,0.7196204386395028,0.991832672340834,5,Ours,4,4,4,4,4,4,4,4,4,4,4,2,2,1,0.14151736002819232
0.02071646452108075,0.9996385705253567,0.5783347782983629,0.6622566186911336,0.2828543971377202,0.826207840616523,5,LDA,4,4,4,4,3,3,3,3,3,3,3,2,1,1,0.09630408380477744
