min,max,mean,median,q25,q75,k,Method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.2229168278422044,0.9979864305678071,0.7305064392515545,0.9706160593446518,0.5967664435934281,0.9843012449562294,3,TTM-HOSVD,3,3,3,2,2,2,2,2,2,2,2,2,2,1,0.10582629785483914
0.28440352927690005,0.9787028303339816,0.739713002897897,0.9560326490828094,0.6202180891798548,0.9673677397083955,3,NTD_2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0.05529186326440542
0.03069959938724102,0.9980731862832991,0.5811942619402265,0.6480021310451829,0.2510810362652809,0.9781153567201285,4,TTM-HOSVD,3,3,3,3,3,2,2,2,2,2,2,2,2,1,0.09373265150749366
0.14306567721618632,0.996077061447714,0.6246472090748689,0.6797230488177876,0.3806375553333954,0.9237327025592611,4,NTD_2,4,3,3,3,3,3,3,3,2,2,2,2,1,1,0.06302415729337092
0.004563111454792774,0.9983817788010675,0.6243167126097429,0.8311670972651743,0.3079978654560675,0.9794737100716123,5,TTM-HOSVD,4,4,4,4,4,3,3,3,3,3,3,3,2,1,0.1333707856288417
9.406901930235624e-4,0.9819455903904694,0.5597247075416331,0.7623026329357309,0.1190609997568077,0.9343736244321339,5,NTD_2,4,3,3,3,3,3,3,3,3,3,3,2,2,1,0.0805508277034321
0.021876270873991945,0.9985920346370877,0.6532390855070823,0.9178387807379842,0.2653658720275873,0.9910200028829894,6,TTM-HOSVD,4,4,4,4,4,4,4,4,4,4,4,4,3,1,0.13266536030191095
0.009025445696890982,0.9937316144042808,0.5898961329610106,0.6977758732273662,0.3598572476318775,0.8448316823894253,6,NTD_2,5,5,5,5,4,4,4,4,4,4,3,2,1,1,0.06502349098734982
0.005452666678126342,0.998654956435396,0.6001083237692214,0.8531224970876078,0.23940492720023748,0.9323591458914723,7,TTM-HOSVD,6,5,5,5,5,4,4,4,4,4,4,4,2,1,0.163196114096255
1.2088088199218702e-4,0.9954886123154896,0.5827006229543931,0.5788794988027939,0.3324749262916832,0.9197327580485546,7,NTD_2,6,6,6,6,5,5,4,4,4,3,3,3,2,1,0.061770123164370236
0.0054103042715022516,0.9985943415769917,0.5643620785026482,0.6669128506805833,0.09878767092574699,0.9883511092146285,8,TTM-HOSVD,6,5,5,5,5,5,5,5,5,5,4,3,3,1,0.14942974924407992
7.23186201197314e-9,0.998089227886018,0.5009068621553885,0.614004462999183,0.10552525870950613,0.7709242143699355,8,NTD_2,6,5,5,5,5,5,5,5,5,4,3,2,1,1,0.05757504495402664
0.00850213348306118,0.9984139468280702,0.5123982430447351,0.35763703159783805,0.14657929146760587,0.9842607401781093,9,TTM-HOSVD,7,6,6,5,5,5,4,4,4,4,4,4,3,1,0.14266714760669777
3.71280534773992e-5,0.9981378688692955,0.5945705464968541,0.6783815872276656,0.3801526658553779,0.8485671783874659,9,NTD_2,8,7,7,7,7,7,6,6,6,5,4,4,2,1,0.061068548861816355
